test,N,theta_deg,state,n,T_us,parity_abs,omega_rad_s,Gamma_raw,cx_count,circuit_depth
control,3,30.0,PRODUCT,5,3.0,0.0087890625,5235987.7559829885,1578082.409421078,0,20
control,3,30.0,FAKE_GHZ,5,3.0,0.00537109375,5235987.7559829885,1742241.2377870092,0,42
control,3,30.0,GHZ,5,3.0,0.6630859375,5235987.7559829885,136950.22601358566,0,69
angular,3,36.0,PRODUCT,3,3.0,0.0146484375,3141592.653589793,1407807.2014990812,0,16
angular,3,33.0,FAKE_GHZ,5,3.0,0.0009765625,5235987.7559829885,2310490.601866484,0,42
angular,3,30.0,FAKE_GHZ,7,3.0,0.00927734375,7330382.858376184,1560060.002330986,0,46
angular,3,39.0,PRODUCT,3,3.0,0.0048828125,3141592.653589793,1774011.297721784,0,16
angular,3,39.0,FAKE_GHZ,3,3.0,0.0146484375,3141592.653589793,1407807.2014990812,0,38
angular,3,30.0,FAKE_GHZ,3,3.0,0.0078125,3141592.653589793,1617343.4213065389,0,38
angular,3,27.0,PRODUCT,7,3.0,0.00830078125,7330382.858376184,1597135.2140343941,0,24
angular,3,33.0,FAKE_GHZ,3,3.0,0.02734375,3141592.653589793,1199755.7651414163,0,38
angular,3,30.0,PRODUCT,7,3.0,0.01220703125,7330382.858376184,1468581.0537637325,0,24
angular,3,33.0,PRODUCT,5,3.0,0.0078125,5235987.7559829885,1617343.4213065389,0,20
angular,3,30.0,PRODUCT,5,3.0,0.00830078125,5235987.7559829885,1597135.2140343941,0,20
angular,3,39.0,PRODUCT,5,3.0,0.01416015625,5235987.7559829885,1419107.7187243083,0,20
angular,3,36.0,FAKE_GHZ,5,3.0,0.0673828125,5235987.7559829885,899121.7670007313,0,42
angular,3,36.0,FAKE_GHZ,7,3.0,0.0224609375,7330382.858376184,1265325.8632234344,0,46
angular,3,33.0,FAKE_GHZ,7,3.0,0.0166015625,7330382.858376184,1366086.1538477456,0,46
angular,3,39.0,PRODUCT,7,3.0,0.041015625,7330382.858376184,1064600.7291053615,0,24
angular,3,27.0,PRODUCT,3,3.0,0.009765625,3141592.653589793,1542962.2375351356,0,16
angular,3,33.0,PRODUCT,3,3.0,0.025390625,3141592.653589793,1224458.4225259903,0,16
angular,3,36.0,FAKE_GHZ,3,3.0,0.029296875,3141592.653589793,1176758.1413124325,0,38
angular,3,27.0,FAKE_GHZ,5,3.0,0.00390625,5235987.7559829885,1848392.4814931874,0,42
angular,3,33.0,PRODUCT,7,3.0,0.0146484375,7330382.858376184,1407807.2014990812,0,24
angular,3,36.0,PRODUCT,5,3.0,0.0146484375,5235987.7559829885,1407807.2014990812,0,20
angular,3,27.0,PRODUCT,5,3.0,0.021484375,5235987.7559829885,1280143.1174137124,0,20
angular,3,39.0,FAKE_GHZ,7,3.0,0.009765625,7330382.858376184,1542962.2375351356,0,46
angular,3,27.0,FAKE_GHZ,7,3.0,0.01953125,7330382.858376184,1311913.1773484873,0,46
angular,3,39.0,FAKE_GHZ,5,3.0,0.013671875,5235987.7559829885,1430804.8253280646,0,42
angular,3,30.0,PRODUCT,3,3.0,0.0009765625,3141592.653589793,2310490.601866484,0,16
angular,3,30.0,FAKE_GHZ,5,3.0,0.0302734375,5235987.7559829885,1165828.2003714356,0,42
angular,3,36.0,PRODUCT,7,3.0,0.0224609375,7330382.858376184,1265325.8632234344,0,24
angular,3,27.0,FAKE_GHZ,3,3.0,0.0,3141592.653589793,4605170.185988091,0,38
